Node.Name,Contrast,logFC,CI.L,CI.R,AveExpr,t,P.Value,adj.P.Val,B
Aeromonadaceae,TreatmentCONV...TreatmentRWA,-0.130838223065933,-1.12588056115325,0.86420411502138,2.43599054617929,-0.258190679855576,0.79634046644492,0.825653612449028,-6.61413291071537
Veillonellaceae,TreatmentCONV...TreatmentRWA,-0.863229500270407,-1.81499557450053,0.0885365739597178,2.3868187815672,-1.78091641595137,0.0753872440025581,0.126143012241904,-5.12883773074905
Burkholderiaceae,TreatmentCONV...TreatmentRWA,1.1757232305652,0.103864421619921,2.24758203951048,2.29730134441398,2.15384775342387,0.0316145329318069,0.0600241036657025,-4.29866956694301
Bacillaceae,TreatmentCONV...TreatmentRWA,1.35737143992715,0.28767372733126,2.42706915252304,2.18119934768154,2.49163902145232,0.0129606138589967,0.0277258701540562,-3.53080681581651
Phyllobacteriaceae,TreatmentCONV...TreatmentRWA,-0.979333018174914,-2.00954280299166,0.0508767666418339,1.84421093194899,-1.86660407796422,0.062401361241306,0.112189681380646,-4.90147022985372
Peptostreptococcaceae,TreatmentCONV...TreatmentRWA,0.993190842793109,-0.52687879800785,2.51326048359407,1.73406263660064,1.28297060245113,0.199953982545208,0.286374771611357,-5.44210592530984
Micromonosporaceae,TreatmentCONV...TreatmentRWA,-0.797333833958175,-2.07702435294691,0.482356685030559,1.71611188816557,-1.22344013853665,0.221601342224553,0.302021184160882,-5.67251556658694
Koribacteraceae,TreatmentCONV...TreatmentRWA,0.918128523002305,-0.367275799216054,2.20353284522066,1.70531568191144,1.40252692524918,0.16122946483563,0.239015610151065,-5.43962837693939
Patulibacteraceae,TreatmentCONV...TreatmentRWA,-0.641221231053548,-1.76716766455034,0.484725202443245,1.68599125441881,-1.11824675793523,0.263869613000821,0.345689648039835,-5.91355093278409
Chitinophagaceae,TreatmentCONV...TreatmentRWA,-3.23871204316716,-4.31424548971189,-2.16317859662243,1.62486569709611,-5.91283689928456,5.40208250395547e-09,5.37030554804985e-08,10.5739830692884
Rhizobiaceae,TreatmentCONV...TreatmentRWA,0.610809692257638,-0.523137344038842,1.74475672855412,1.6236902438366,1.05769544308754,0.290582365926987,0.377757075705083,-5.97127633992301
Acetobacteraceae,TreatmentCONV...TreatmentRWA,-0.29652634538587,-1.42599002101657,0.83293733024483,1.61361788432709,-0.515511669278986,0.606368630523382,0.672042954308117,-6.39251422559953
Haliangiaceae,TreatmentCONV...TreatmentRWA,-0.391936825101795,-1.52572668502135,0.741853034817758,1.57572485477829,-0.678783044618408,0.497513947949229,0.587971029394544,-6.29337661536555
Alcaligenaceae,TreatmentCONV...TreatmentRWA,-0.682412178080536,-1.73239938169861,0.367575025537533,1.55867535274173,-1.27617503921673,0.202343809470425,0.28736221681094,-5.79473555118831
Geodermatophilaceae,TreatmentCONV...TreatmentRWA,0.362324693848557,-0.923104497925379,1.64775388562249,1.46074080360366,0.553474044608439,0.58012681443069,0.657996185495212,-6.2473512242891
Caulobacteraceae,TreatmentCONV...TreatmentRWA,-1.10168146074523,-2.37940427700659,0.17604135551614,1.45183801700774,-1.69303865860536,0.0909213349309083,0.146340053364986,-5.00761343062049
Beijerinckiaceae,TreatmentCONV...TreatmentRWA,2.55434432451806,1.41969502906388,3.68899361997224,1.43543099493716,4.42043771410583,1.15198523311875e-05,5.56244298277339e-05,3.04329118133373
Methylobacteriaceae,TreatmentCONV...TreatmentRWA,-0.660882567586188,-1.78303295581615,0.46126782064377,1.43440009595172,-1.1564336388804,0.247923413933915,0.335192455638653,-5.87424706702137
Solibacteraceae,TreatmentCONV...TreatmentRWA,0.137478108516621,-1.14806715738406,1.42302337441731,1.38925850992356,0.209987604233398,0.833742334848782,0.848809967406291,-6.37480894290971
Nocardioidaceae,TreatmentCONV...TreatmentRWA,-0.464196387547113,-1.87244029367164,0.944047518577418,1.38769740987964,-0.647248957420484,0.517696513410228,0.603384212181576,-6.10516324609203
S24-7,TreatmentCONV...TreatmentRWA,-0.911566342737478,-2.03009629821298,0.206963612738018,1.36722266414733,-1.60025114229014,0.110022758834372,0.173774263953354,-5.2782998969939
Sporichthyaceae,TreatmentCONV...TreatmentRWA,1.23161165262527,-0.176436239952791,2.63965954520334,1.34823275684095,1.71752807991997,0.0863531301139982,0.140323836435247,-4.88097394507407
Prevotellaceae,TreatmentCONV...TreatmentRWA,-1.33383003913792,-2.41898416917209,-0.248675909103752,1.33052750872915,-2.41355138815418,0.0160699765740057,0.033947825512587,-3.70619180254192
Solirubrobacteraceae,TreatmentCONV...TreatmentRWA,1.60597863912568,0.197917314949941,3.01403996330143,1.29350880923307,2.23957534895163,0.0254516651805082,0.0500154815756499,-3.88166670268786
Pasteurellaceae,TreatmentCONV...TreatmentRWA,-0.393469665142442,-1.60702948163541,0.820090151350528,1.27275379726218,-0.636645321379992,0.524577255134167,0.607216137792289,-6.25467363202476
