"","FC_112","FC_113","FC_122","FC_123","FC_133","FC_134","FC_142","FC_143","FC_161","FC_162","FC_172","FC_177","FC_181","FC_186","FC_195","FC_199"
"Bacillaceae",9.30460333006856,25.4727301140803,0,24.1149307337096,0,0,0,0,22.362664073894,23.8450074515648,0,112.795363352653,0,0,0,69.8035160289556
"Nitrosomonadaceae",11.1002285341169,12.9707766838569,0,130.83632632119,0,0,0,0,0,0,0,0,0,43.2276657060519,0,0
"Clostridiaceae",19.4253999347045,0,0,67.7270395074397,65.1272942569568,118.494795836669,55.2735476593345,171.003717472119,106.951871657754,167.908594138102,243.293246993525,252.340615247437,197.762863534676,73.6928777274599,224.317295188557,6.72182006204757
"Solirubrobacteraceae",21.0577864838394,18.4403813095796,0,0,0,0,0,0,0,56.1351217088922,0,0,0,68.3408810209963,0,0
"[Weeksellaceae]",4.40744368266405,5.62587904360056,0,10.2616726526424,42.6287744227354,0,0,0,0,0,0,0,0,0,0,16.5460186142709
"Phyllobacteriaceae",12.4061377734247,16.0962650414127,0,39.2508978963571,57.4304322084074,0,0,0,42.29460379193,0,0,0,0,31.700288184438,0,0
"Nocardioidaceae",56.1540972902383,52.0393811533052,0,0,0,0,0,0,0,0,0,0,0,64.6356525319061,0,23.2678386763185
"[Mogibacteriaceae]",3.26477309826967,0,0,6.92662904053361,0,0,0,0,0,5.46448087431694,0,3.12082032991529,0,0,0,0
"Succinivibrionaceae",0,0,0,0,0,0,0,0,0,0,0,28.979045920642,8.94854586129754,17.2910662824208,11.703511053316,0
"[Tissierellaceae]",4.73392099249102,0,0,7.43971267316573,0,0,0,0,0,2.9806259314456,0,0,0,3.29353643474681,0,11.3753877973113
"Peptostreptococcaceae",7.67221678093372,0,0,0,0,0,0,0,0,11.4257327372082,22.2016651248844,8.91662951404369,30.8724832214765,21.4079868258543,11.703511053316,0
"mb2424",0,0,0,4.36121087737301,0,0,0,0,0,0,0,0,0,6.58707286949362,0,0
